year,quarter,region,area,level_of_edu,value,unit,source
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,38516.37,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1289.97,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,9358.57,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ประถมศึกษา,8963.54,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6256.64,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4372.65,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1288.11,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),7.10,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4071.19,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2034.04,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),722.31,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อื่นๆ,28.80,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่ทราบ,123.45,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,รวม,38911.76,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1272.16,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,9418.50,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ประถมศึกษา,9117.87,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6493.69,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4424.81,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1256.19,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),10.51,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4081.60,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2000.55,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),695.53,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อื่นๆ,21.30,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่ทราบ,119.04,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,รวม,39112.40,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1245.29,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8798.90,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ประถมศึกษา,9806.36,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6502.70,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4578.84,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1239.35,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),17.84,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),3974.18,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2016.62,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),717.05,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อื่นๆ,30.19,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่ทราบ,185.08,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,รวม,39087.02,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1275.17,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8761.80,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ประถมศึกษา,9746.71,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6499.60,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4576.87,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1241.18,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),9.90,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4107.41,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1902.84,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),758.88,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อื่นๆ,60.31,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่ทราบ,146.35,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,37811.64,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1351.39,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ต่ำกว่าประถม ศึกษา,8223.53,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ประถม ศึกษา,8787.57,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,5998.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4334.46,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1311.83,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),11.91,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4842.73,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1958.87,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),731.63,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อื่นๆ,66.59,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่ทราบ,193.13,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,รวม,37815.03,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1286.93,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ต่ำกว่าประถม ศึกษา,8282.31,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ประถม ศึกษา,8634.18,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6062.47,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4379.73,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1335.75,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),5.77,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4843.63,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1924.30,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),739.02,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อื่นๆ,101.67,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่ทราบ,219.26,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,รวม,38420.99,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1277.40,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8635.23,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ประถมศึกษา,8763.00,พันคน,สำนักงานสถิติแห่งชาติ
