year,quarter,region,age_group,sex,value,unit,source
2555,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,38008.40,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20779.40,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17229.00,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,38582.90,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,21036.90,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17546.00,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,39578.30,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,21366.50,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,18211.80,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,39586.90,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,21333.50,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,18253.30,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,38516.37,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,21026.52,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17489.85,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,38911.76,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,21230.74,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17681.02,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,39112.40,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,21349.24,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17763.16,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,39087.02,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,21377.13,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17709.89,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37811.60,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20647.10,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17164.50,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37815.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20677.10,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17138.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,38421.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20880.80,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17540.20,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,38262.10,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20810.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17452.10,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37611.52,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20526.45,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17085.07,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37751.75,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20604.08,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17147.67,พันคน,สำนักงานสถิติแห่งชาติ
